CountyCode	PrecinctNu	CensusBloc	Split
MRT	24	120850006031025	
MRT	24	120850006031026	
MRT	24	120850006031027	
MRT	24	120850006031028	
MRT	24	120850006031029	
MRT	24	120850006031030	
MRT	24	120850006031031	
MRT	24	120850006031032	
MRT	24	120850006031033	
MRT	24	120850006031034	
MRT	24	120850006031035	
MRT	24	120850006031036	
MRT	24	120850006031037	
MRT	25	120850006032000	
MRT	25	120850006032001	
MRT	25	120850006032002	
MRT	25	120850006032003	
MRT	24	120850006032004	
MRT	24	120850006032005	
MRT	24	120850006032006	
MRT	24	120850006032007	
MRT	24	120850006032008	
MRT	25	120850006033000	
MRT	25	120850006033001	
MRT	25	120850006033002	
MRT	25	120850006033003	
MRT	25	120850006033004	
MRT	25	120850006033005	
MRT	25	120850006033006	
MRT	25	120850006033007	
MRT	25	120850006033008	
MRT	25	120850006033009	
MRT	25	120850006033010	
MRT	25	120850006033011	
MRT	25	120850006033012	
MRT	25	120850006033013	
MRT	25	120850006033014	
MRT	25	120850006033015	
MRT	25	120850006033016	
MRT	25	120850006033017	
MRT	25	120850006033018	
MRT	25	120850006033019	
MRT	24	120850006034000	
MRT	24	120850006034001	
MRT	24	120850006034002	
MRT	24	120850006034003	
MRT	24	120850006034004	
MRT	24	120850006034005	
MRT	24	120850006034006	
MRT	24	120850006034007	
MRT	24	120850006034008	
MRT	24	120850006034009	
MRT	24	120850006034010	
MRT	24	120850006034011	
MRT	24	120850006034012	
MRT	27	120850006034013	
MRT	27	120850006034014	
MRT	27	120850006034015	
MRT	27	120850006034016	
MRT	27	120850006034017	
MRT	27	120850006034018	
MRT	27	120850006034019	
MRT	27	120850006034020	
MRT	24	120850006034021	
MRT	27	120850006034022	
MRT	27	120850006034023	
MRT	27	120850006041000	
MRT	27	120850006041001	
MRT	27	120850006041002	
MRT	27	120850006041003	
MRT	27	120850006041004	
MRT	27	120850006041005	
MRT	27	120850006041006	
MRT	27	120850006041007	
MRT	27	120850006041008	
MRT	27	120850006041009	
MRT	27	120850006041010	
MRT	27	120850006041011	
MRT	27	120850006041012	
MRT	27	120850006041013	
MRT	27	120850006041014	
MRT	27	120850006041015	
MRT	27	120850006041016	
MRT	27	120850006041017	
MRT	27	120850006041018	
MRT	27	120850006041019	
MRT	27	120850006041020	
MRT	27	120850006041021	
MRT	27	120850006041022	
MRT	27	120850006041023	
MRT	27	120850006041024	
MRT	27	120850006041025	
MRT	27	120850006041026	
MRT	27	120850006041027	
MRT	27	120850006041028	
MRT	27	120850006041029	
MRT	27	120850006041030	
MRT	27	120850006041031	
MRT	27	120850006041032	
MRT	27	120850006041033	
MRT	27	120850006041034	
MRT	27	120850006041035	
MRT	27	120850006041036	
MRT	27	120850006042000	
MRT	27	120850006042001	
MRT	27	120850006042002	
MRT	27	120850006042003	
MRT	27	120850006042004	
MRT	27	120850006042005	
MRT	27	120850006042006	
MRT	27	120850006042007	
MRT	27	120850006042008	
MRT	27	120850006042009	
MRT	27	120850006042010	
MRT	27	120850006042011	
MRT	27	120850006042012	
MRT	27	120850006042013	
MRT	27	120850006042014	
MRT	27	120850006042015	
MRT	27	120850006042016	
MRT	27	120850006042017	
MRT	27	120850006042018	
MRT	27	120850006042019	
MRT	27	120850006042020	
MRT	27	120850006042021	
MRT	27	120850006042022	
MRT	27	120850006042023	
MRT	27	120850006042024	
MRT	27	120850006042025	
MRT	27	120850006042026	
MRT	27	120850006042027	
MRT	27	120850006042028	
MRT	27	120850006042029	
MRT	27	120850006042030	
MRT	27	120850006042031	
MRT	27	120850006042032	
MRT	27	120850006042033	
MRT	27	120850006042034	
MRT	27	120850006042035	
MRT	27	120850006042036	
MRT	27	120850006042037	
MRT	27	120850006042038	
MRT	27	120850006042039	
MRT	27	120850006042040	
MRT	27	120850006042041	
MRT	22	120850006042042	
MRT	27	120850006042043	
MRT	27	120850006042044	
MRT	27	120850006042045	
MRT	27	120850006042046	
MRT	27	120850006042047	
MRT	22	120850006042048	
MRT	27	120850006042049	
MRT	27	120850006042050	
MRT	27	120850006042051	
MRT	27	120850006042052	
MRT	26	120850006061000	
MRT	26	120850006061001	
MRT	26	120850006061002	
MRT	26	120850006061003	
MRT	26	120850006061004	
MRT	26	120850006061005	
MRT	26	120850006061006	
MRT	26	120850006061007	
MRT	26	120850006061008	
MRT	26	120850006061009	
MRT	26	120850006062000	
MRT	26	120850006062001	
MRT	26	120850006062002	
MRT	26	120850006062003	
MRT	26	120850006062004	
MRT	26	120850006062005	
MRT	26	120850006062006	
MRT	26	120850006062007	
MRT	26	120850006062008	
MRT	26	120850006062009	
MRT	26	120850006062010	
MRT	26	120850006062011	
MRT	26	120850006062012	
MRT	26	120850006062013	
MRT	26	120850006062014	
MRT	26	120850006062015	
MRT	26	120850006062016	
MRT	26	120850006062017	
MRT	26	120850006062018	
MRT	26	120850006062019	
MRT	26	120850006062020	
MRT	26	120850006062021	
MRT	2	120850006063000	
MRT	25	120850006063001	
MRT	25	120850006063002	
